Element,Line,Type,Energy
P,Ka3,Sum Peak (2x),3.913
I,La2,Emission Line,3.9262
Sb,Lb3,Emission Line,3.9316
Sm,La1,Escape Peak (Si),3.9326
I,La1,Emission Line,3.9377
Sc,Ka3,Emission Line,3.994
Y,Lb1,Sum Peak (2x),3.9966
Ca,Kb3,Emission Line,4.0131
Ca,Kb1,Emission Line,4.0131
Nd,Lb1,Escape Peak (Si),4.0187
P,Ka2,Sum Peak (2x),4.019
P,Ka1,Sum Peak (2x),4.021
Nd,Lb4,Escape Peak (Si),4.023
Te,Lb1,Emission Line,4.0286
Te,Lb4,Emission Line,4.0682
Mn,Ka3,Escape Peak (Si),4.0699
Zr,La2,Sum Peak (2x),4.0838
Sc,Ka2,Emission Line,4.0884
Zr,La1,Sum Peak (2x),4.0884
Sc,Ka1,Emission Line,4.0933
Xe,La2,Emission Line,4.097
Xe,La1,Emission Line,4.1096
Te,Lb3,Emission Line,4.1182
Eu,La2,Escape Peak (Si),4.1184
Y,Lb4,Sum Peak (2x),4.1248
Nd,Lb3,Escape Peak (Si),4.129
Y,Lb3,Sum Peak (2x),4.1484
Eu,La1,Escape Peak (Si),4.1495
Mn,Ka2,Escape Peak (Si),4.1891
Mn,Ka1,Escape Peak (Si),4.2003
I,Lb1,Emission Line,4.2212
Cr,Kb3,Escape Peak (Si),4.2468
Cr,Kb1,Escape Peak (Si),4.2468
Zr,Lb1,Sum Peak (2x),4.2518
Pm,Lb4,Escape Peak (Si),4.2566
I,Lb4,Emission Line,4.257
Pm,Lb1,Escape Peak (Si),4.261
Cs,La2,Emission Line,4.2715
P,Kb3,Sum Peak (2x),4.277
P,Kb1,Sum Peak (2x),4.279
Cs,La1,Emission Line,4.2854
Cr,Kb5,Escape Peak (Si),4.287
I,Lb3,Emission Line,4.313
Gd,La2,Escape Peak (Si),4.3211
Nb,La2,Sum Peak (2x),4.332
Nb,La1,Sum Peak (2x),4.3374
Gd,La1,Escape Peak (Si),4.3534
Pm,Lb3,Escape Peak (Si),4.371
Zr,Lb4,Sum Peak (2x),4.377
Zr,Lb3,Sum Peak (2x),4.4044
Ti,Ka3,Emission Line,4.4051
Xe,Lb1,Emission Line,4.418
Xe,Lb4,Emission Line,4.4509
Ba,La2,Emission Line,4.4513
Sc,Kb3,Emission Line,4.4637
Sc,Kb1,Emission Line,4.4637
Ba,La1,Emission Line,4.4665
S,Ka3,Sum Peak (2x),4.4822
Sm,Lb4,Escape Peak (Si),4.496
Sm,Lb1,Escape Peak (Si),4.5011
Ti,Ka2,Emission Line,4.5058
Ti,Ka1,Emission Line,4.5122
Xe,Lb3,Emission Line,4.5124
Nb,Lb1,Sum Peak (2x),4.52
Tb,La2,Escape Peak (Si),4.5371
Fe,Ka3,Escape Peak (Si),4.5674
Tb,La1,Escape Peak (Si),4.5729
Mo,La2,Sum Peak (2x),4.5778
Mo,La1,Sum Peak (2x),4.5842
S,Ka2,Sum Peak (2x),4.6168
Sm,Lb3,Escape Peak (Si),4.6172
Cs,Lb1,Emission Line,4.6185
S,Ka1,Sum Peak (2x),4.619
La,La2,Emission Line,4.63
Cs,Lb4,Emission Line,4.643
Nb,Lb4,Sum Peak (2x),4.6438
La,La1,Emission Line,4.647
Nb,Lb3,Sum Peak (2x),4.6748
Fe,Ka2,Escape Peak (Si),4.6921
Fe,Ka1,Escape Peak (Si),4.7052
Cs,Lb3,Emission Line,4.711
Eu,Lb4,Escape Peak (Si),4.738
Dy,La2,Escape Peak (Si),4.757
Eu,Lb1,Escape Peak (Si),4.7584
Mo,Lb1,Sum Peak (2x),4.7878
Mn,Kb1,Escape Peak (Si),4.7918
Mn,Kb3,Escape Peak (Si),4.7918
Dy,La1,Escape Peak (Si),4.798
Ce,La2,Emission Line,4.8206
Ba,Lb1,Emission Line,4.8283
Mn,Kb5,Escape Peak (Si),4.837
V,Ka3,Emission Line,4.8383
Tc,La2,Sum Peak (2x),4.8388
Ce,La1,Emission Line,4.8392
Tc,La1,Sum Peak (2x),4.8462
Ba,Lb4,Emission Line,4.852
Eu,Lb3,Escape Peak (Si),4.871
Mo,Lb4,Sum Peak (2x),4.9088
Ba,Lb3,Emission Line,4.926
S,Kb3,Sum Peak (2x),4.928
S,Kb1,Sum Peak (2x),4.93
Ti,Kb3,Emission Line,4.9334
Ti,Kb1,Emission Line,4.9334
Mo,Lb3,Sum Peak (2x),4.944
